Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,1386.900024,1386.900024,1352.300049,1355.900024,1336.630981,48543
2019-12-02,1355.900024,1377.699951,1328.050049,1344.349976,1325.245239,43583
2019-12-03,1356.300049,1385.000000,1335.650024,1346.400024,1327.266113,65451
2019-12-04,1346.400024,1358.050049,1311.000000,1329.849976,1310.951172,46220
2019-12-05,1324.500000,1437.000000,1324.449951,1382.300049,1362.655884,190314
2019-12-06,1394.949951,1445.000000,1364.000000,1383.949951,1364.282349,94842
2019-12-09,1391.699951,1396.449951,1340.099976,1349.500000,1330.322021,45545
2019-12-10,1350.000000,1374.150024,1330.300049,1345.750000,1326.625244,49623
2019-12-11,1350.000000,1420.000000,1327.250000,1400.099976,1380.202759,61775
2019-12-12,1407.900024,1473.150024,1345.599976,1358.199951,1338.898193,99111
2019-12-13,1365.550049,1395.000000,1348.000000,1379.050049,1359.452148,43129
2019-12-16,1384.599976,1414.000000,1365.000000,1402.000000,1382.075928,50740
2019-12-17,1402.000000,1430.000000,1385.000000,1415.800049,1395.679932,98369
2019-12-18,1424.000000,1437.900024,1397.500000,1420.550049,1400.362305,47216
2019-12-19,1418.000000,1429.000000,1392.050049,1400.650024,1380.745117,50810
2019-12-20,1411.000000,1419.000000,1391.099976,1401.349976,1381.434937,46355
2019-12-23,1382.000000,1385.000000,1286.599976,1300.400024,1281.919800,816811
2019-12-24,1305.000000,1319.400024,1251.550049,1294.449951,1276.054199,146900
2019-12-26,1294.000000,1300.000000,1259.000000,1271.800049,1253.726196,73734
2019-12-27,1272.199951,1295.000000,1262.500000,1278.250000,1260.084595,43282
2019-12-30,1280.000000,1314.800049,1280.000000,1289.000000,1270.681763,46834
2019-12-31,1299.500000,1299.500000,1280.199951,1284.650024,1266.393555,41894
2020-01-01,1285.449951,1291.449951,1271.000000,1279.300049,1261.119751,47428
2020-01-02,1279.050049,1324.800049,1265.099976,1316.750000,1298.037354,80987
2020-01-03,1320.000000,1334.000000,1301.099976,1324.750000,1305.923584,46637
2020-01-06,1338.500000,1338.750000,1271.099976,1316.650024,1297.938843,42944
2020-01-07,1315.000000,1329.900024,1315.000000,1319.699951,1300.945435,48186
2020-01-08,1308.500000,1329.699951,1301.250000,1311.800049,1293.157715,45290
2020-01-09,1319.750000,1355.000000,1317.699951,1346.300049,1327.167480,62124
2020-01-10,1352.000000,1429.000000,1352.000000,1408.250000,1388.237061,109670
2020-01-13,1420.250000,1474.000000,1420.250000,1459.500000,1438.758667,59465
2020-01-14,1474.900024,1498.000000,1443.000000,1491.800049,1470.599731,77100
2020-01-15,1510.099976,1518.000000,1473.050049,1495.449951,1474.197754,62686
2020-01-16,1503.000000,1505.000000,1477.000000,1494.300049,1473.064087,45354
2020-01-17,1498.599976,1510.000000,1480.050049,1499.650024,1478.338135,54911
2020-01-20,1497.949951,1501.449951,1481.000000,1484.449951,1463.354004,43689
2020-01-21,1486.599976,1534.900024,1464.000000,1497.099976,1475.824341,57004
2020-01-22,1505.000000,1549.800049,1470.300049,1476.050049,1455.073486,51679
